"2","Barca on Cloud Nine","Barcelona powered nine points clear at the top of the Primera Liga with a 2-1 win at Getafe. The damage was done early on with Rafael Marquez and Deco firing home goals in quick succession to give Barca a 2-0 lead by the 22nd minute."
"2","Ruffin Fills Key Role","With power forward Etan Thomas having missed the entire season, reserve forward Michael Ruffin has done well in taking his place."
"1","HICKSS TRIAL DELAYED","The date for Australian Guantanamo Bay detainee David Hickss trial has been pushed back from January 10 to March 15. The trials presiding officer, US Army Colonel Peter Brownback, said the delay would "
"2","Kansas State guard leaves team","Manhattan, KS (Sports Network) - Kansas State guard Dez Willingham will not return to the men #39;s basketball team for the upcoming season."
"1","Huge Cache of Explosives Vanished From Site in Iraq","The Iraqi interim government has warned that nearly 380 tons of the world's most powerful conventional explosives are missing from a former military installation."
"1","IRA 'terror arrest' in Tenerife","An IRA suspect wanted in connection with a NI bomb attack on soldiers in 1996 is arrested by Spanish police."
"2","Hamm Defends Gold Medal in Court","Olympic gymnastics champion Paul Hamm has appeared before the Court of Arbitration for Sport in Lausanne in a bid to retain the gold medal he won in the mens all-round competition in Athens."
"1","Powell calls Russian FM over Georgian conflict","WASHINGTON, Aug. 17 (Xinhuanet) -- US Secretary of State Colin Powell has called Russian Foreign Minister Sergei Lavrov over the conflict in Georgia #39;s breakaway region of South Ossetia, State Department deputy spokesman Adam Ereli said on Tuesday. "
"2","Athletics Rally to Beat Devil Rays 8-7 (AP)","AP - Erubiel Durazo hit a two-run homer, Eric Chavez also connected and the Oakland Athletics rallied from a four-run deficit to beat the Tampa Bay Devil Rays 8-7 Friday night."
"2","American #39;s victory will oust idle Mauresmo","MOSCOW -- Lindsay Davenport will take over the No. 1 spot from Amelie Mauresmo when the rankings are released next week after reaching the Kremlin Cup quarterfinals with a 6-4, 6-2 win over Dinara Safina on Thursday."
"1","Convention Protests Target Labor Policies (AP)","AP - Republican National Convention protesters waved symbolic pink slips along a three-mile ""unemployment line,"" labor unions demanded better treatment of workers and a group of AIDS activists infiltrated Madison Square Garden on Wednesday, as arrest totals soared beyond 1,700 for the past week."
"1","Syria Open to Cooperating with U.S. on Iraq -Powell"," UNITED NATIONS (Reuters) - Syria has shown a new readiness  to work with U.S.-led forces to stop arms, militants and money  from crossing into Iraq and fueling insurgency, Secretary of  State Colin Powell said on Wednesday."
"1","Mass grave reveals remains of Iraqi women and children","The horrific secrets of a mass grave in northern Iraq emerged yesterday as American officials accused Europeans of failing to help in the search to uncover Saddam Hussein #39;s atrocities."
"2","Runner for the ages","It is a tribute to his fighting spirit that Evening Attire, at the relatively advanced age of 6, is still a serious factor in a \$1 million race. He is a force to be reckoned with in tomorrow's Jockey Club Gold Cup at Belmont Park, an event he won in 2002, and he is going to keep racing as long ..."
"1","In Mozambique, vote to bring change at top","MAPUTO, Mozambique -- Mozambique's poor, many carrying small children, trudged along narrow dirt roads in oppressive heat yesterday to pick a replacement for the president who has ruled this downtrodden African country for the past 18 years."
"2","NBA Sets First-Week Attendance Record (AP)","AP - A record 17 home-opener sellouts brought NBA attendance to 95 percent capacity for the first week of the season."
"2","Patriots Begin Title Defense with Narrow Win Over Colts (Reuters)","Reuters - The New England Patriots began their\quest for successive Super Bowl titles with a tight 27-24 win\over the Indianapolis Colts in the opening game of the NFL\season in Foxboro Thursday."
"2","This Date in Baseball for Oct. 28 (AP)","AP - 1958  #151; Construction began on the new ballpark for the Giants in San Francisco. The rocks in the area resembled candlesticks."
"1","Japan needs qualification","The current pressing task for Japan should be to work harder to qualify itself for a seat on the United Nations (UN) Security Council but not to hurriedly squeeze the country into the body, said a Xinhua News Agency commentary."
"2","Sound of success: Israel strikes gold","For many Israelis, the Olympics evoke memories of a terrorist massacre and political boycotts, but windsurfer "
"1","Melvyn Bragg: Political misadventures of a peer and polymath","It was to plug one of his many books that Melvyn Bragg was in the ITV building this week when he encountered an old chum who asked him to go on air to do a political interview while he was there."
"2","Referee rescinds Chelsea striker Drogba #39;s yellow card","Referee Rob Styles has rescinded Didier Drogba #39;s yellow card which was received by the Chelsea striker for diving during Saturday #39;s Premier League match at Aston Villa, the Football Association said on Monday."
"1","French Troops Fire to Disperse Ivory Coast Protesters"," ABIDJAN (Reuters) - French troops in Ivory Coast's main  city of Abidjan fired into the air on Monday to disperse  thousands of demonstrators massing to support the West African  country's President Laurent Gbagbo."
"2","Foster to Miss Four to Six Weeks (AP)","AP - Indiana Pacers center Jeff Foster will have hip surgery Wednesday and is expected to miss four to six weeks, further depleting the team's front court."
"1","Crocodile attacks two campers in northern Australia","CAIRNS, Australia A doctor says a pair of Australian campers are  quot;pretty lucky quot; after tangling with a big crocodile. Authorities say the 14-foot croc grabbed a man as he slept in a tent at a campsite in Queensland."
"1","Iraq seeks EU, NATO help to keep elections on track (AFP)","AFP - Iraqi President Ghazi al-Yawar called on NATO and the European Union to do more to help stabilize his war-ravaged country ahead of elections which he hopes can be held as planned in January."
"2","Federer struggles through","US Open champion Roger Federer has begun his quest for a 10th 2004 title with a win in the first round of the Thailand Open. Stepping out for the first time since adding the Flushing Meadows Grand Slam title "
"1","Anti-drugs fight tops Bush agenda","US President George W Bush arrives in Colombia for talks expected to focus on  fighting drug trafficking."
"1","Choking on Growth","Rapid economic development has led to filthy air. The good news: this is a mess that can be cleaned up"
"2","Dirrell loses bout, settles for bronze","Athens, Greece (Sports Network) - American middleweight Andre Dirrell lost his semifinal bout to Kazakhstan #39;s Gennadiy Golovkin on Friday, missing an opportunity to advance to the gold medal match."
"2","Season Cuts to The Chase","NASCAR #39;s 2004 season comes to a close in Sunday #39;s Ford 400 with five drivers in contention for the \$5.28 million Nextel Cup championship and a storyline for stock-car racing fans of every loyalty."
"1","U.S. Applauds Dalai Lama Group in China (AP)","AP - The State Department welcomed on Tuesday the arrival in China of a delegation representing the Dalai Lama, the exiled Tibetan spiritual leader."
"2","Ravens #39; Battle Plans for Chiefs","Once again, Ravens Insider staffer Dev Panchwagh breaks down the upcoming Ravens game. Thos week: how to defeat the Chiefs on Monday night."
"1","China threatens to veto UN Darfur draft UNITED NATIONS (Reuters) &lt;b&gt;...&lt;/b&gt;","China has threatened to veto a revised US draft resolution that would consider UN sanctions against Sudans oil industry if Khartoum does not stop atrocities in its Darfur region, diplomats reported on Wednesday."
"2","Police: Coleman Flipped Car to Avoid Deer (AP)","AP - Atlanta Falcons defensive tackle Rod Coleman swerved to avoid a deer and flipped his luxury vehicle, authorities said Wednesday, finally revealing details of a mysterious wreck last weekend."
"1","Muslim Council joins fight for hostage #39;s life","A delegation from the Muslim Council of Britain is flying to Baghdad in a desperate attempt secure to release of hostage Kenneth Bigley."
"1","Soldier Sentenced for Iraq Prison Abuse","BAGHDAD, Iraq - A U.S. soldier broke down in tears Saturday as he admitted abusing inmates at Abu Ghraib prison, receiving a lighter sentence in return for his testimony against others charged in the scandal..."
"2","Redskins Beat Bears 13-10 to End Skid (AP)","AP - Clinton Portis had his best day since changing teams and Washington throttled Chicago's inept offense as the Redskins beat the Bears 13-10."
"1","A lordly ruling","It is a high tribute to the legal systems of the United States and Britain that they have not blindly followed their governments in accepting the threat of terror as a reason to subvert fundamental democratic values."
"1","Russia Observes Day of Mourning for Plane Crash Victims","Russians are observing a day of mourning Thursday for the 89 victims of two nearly simultaneous plane crashes Tuesday. Investigators say they have no evidence to prove whether the crashes late on Tuesday were caused by terrorism."
"2","MVP Guerrero best in country, AL","With three of the top four contenders for the American League #39;s Most Valuable Player award from his country, Dominican Republic president Leonel Fernandez felt it was safe to host a celebration "
"2","Gilbert Reaches Deal to Buy Cavaliers (AP)","AP - Detroit mortgage magnate Dan Gilbert has reached agreement with owner Gordon Gund to buy the Cleveland Cavaliers, who have risen from the NBA's depths to unprecedented popularity since the arrival of star LeBron James."
"2","Motor Cycling: Angry Rossi hits out at demotion","LOSAIL, Qatar : World champion Valentino Rossi angrily hit out at race organisers here after he was demoted to the back of the grid for the Qatar Grand Prix."
"1","Ukrainians Vote for New President in Landmark Poll"," KIEV (Reuters) - Ukrainians voted for a new president on  Sunday, choosing between their Russian-backed prime minister  and a West-leaning liberal in a tight contest many fear could  degenerate into turmoil."
"2","Maddox Knows How Rookie Quarterback Feels (AP)","AP - Tommy Maddox can only stand on the sideline and watch Sunday as Steelers rookie quarterback Ben Roethlisberger runs the offense Maddox expected to run in Miami. Throws the passes Maddox expected to throw. Leads the team Maddox expected to lead."
"2","Revolution kept down by Brown","FOXBOROUGH -- Chris Brown, who helped launch the Revolution's rally late last season with key goals, might have spoiled the Revolution's chances this season, providing a 48th-minute header for the San Jose Earthquakes in a 1-0 victory last night at Gillette Stadium."
"1","Blair #39;s pledge on Hassan worries her colleagues","BAGHDAD - Iraqi colleagues of kidnapped aid worker Margaret Hassan say they are deeply worried that Tony Blair #39;s repeated pledge to  #39;save #39; her is, in fact, putting her life in increased danger."
