1,"The Hempest"," The Hempest is an eco-friendly clothing store specializing in hemp clothing products and accessories. The store was founded in 1995 in Boston Massachusetts with the conviction of bringing hemp back to the marketplace and into full view of the public. Though the stores typically work together each is independent from one another."
1,"McArthurGlen Group"," McArthurGlen Group is an owner developer and manager of designer outlets. The Group which currently has 20 Designer Outlets in the UK and Continental Europe opened its first designer outlet in 1995 with the opening of Cheshire Oaks Designer Outlet near Chester. McArthurGlen Designer Outlets sell end-of-line ranges samples and one-off’s at discounted prices."
3,"Ichirou Agata"," Ichirou Agata often known simply as Agata is the guitarist for the Japanese noise rock band Melt-Banana. Agata is known particularly for his furious stage antics jumping and constantly moving around and exceedingly unique approach to playing the guitar which involves extended technique heavy use of effects pedals and guitar slides resulting in sounds not easily attributed to the guitar."
1,"Interoute"," Interoute Communications Ltd is a privately held telecommunications company it operates Europe's largest cloud services platform."
2,"Tyngsborough High School"," Tyngsborough High School (THS) is located at 36 Norris Road in Tyngsborough.Tyngsborough High School has approximately 520 students and is part of the Tyngsborough school district."
5,"Brian Deese"," Brian Christopher Deese is the Deputy Director of the Office of Management and Budget. He previously worked at the United States National Economic Council as special assistant to the president for economic policy. Following the 2008 presidential election he served as a member of the Economic Policy Working Group for the Obama-Biden transition."
2,"Yamasa Institute"," The Yamasa Institute (Japanese: YAMASA言語文化研究所 or YAMASA言語文化学院) is a private Japanese Language school located in Okazaki Aichi Prefecture.The Institute began language instruction in 1989 and was founded through the Hattori Foundation a philanthropic educational organisation established in 1919."
1,"Twinight Records"," Twinight Records was a minor American recording label founded in Chicago 1967 by Howard Bedno and Peter Wright who later added E. Rodney Jones as a partner. Specializing in R&B and soul music for a few months the label was called Twilight Records until it was discovered that another company already owned the Twilight name. Over five years the label released (or at least recorded) 55 singles and charted seven times."
2,"Concord High School (Elkhart Indiana)"," Concord High School is a public high school in Elkhart County Indiana United States with a size of approximately 1500 students. The school was host to President Barack Obama's first order of business meeting outside of Washington D.C. as well as the site of one of his campaign rallies before the 2008 election."
2,"Holy Family High School (Mumbai)"," Holy Family High School is a private Jesuit boys school located in the suburb of Andheri (East) in Mumbai India. It is a primary and secondary education school providing education from upper kindergarten or first standard (grade) through tenth standard. While the school primarily is English-medium there is also a smaller Marathi-medium section that runs in parallel from the fifth to the tenth standard.The school has had a Parent-Teacher Association since 1964."
6,"HMS Diana (D126)"," HMS Diana was one of the Daring class of destroyers planned during the Second World War by the Royal Navy. The design therefore reflected developments of the Pacific campaign including long range and the ability to efficiently Replenish At Sea (RAS)."
6,"CSC Maiden Saginaw"," The Maiden Saginaw was the only aircraft built by the fledgling CSC Aircraft Company."
1,"Dental Records"," Dental Records is a small independent record label based in Ipswich UK."
6,"Breguet Aerhydroplane"," The Breguet Aerhydroplane was a large experimental flying boat developed in France in 1912. It proved to be underpowered and never flew.Huge for its day it was a parasol-wing monoplane of canard configuration (described in some sources as a tandem wing design on account of the wide span of the foreplane relative to the mainplane) with a single tractor propeller turned by a chain drive from an engine located within the hull."
2,"SECAB Institute of Engineering & Technology"," SECAB Institute of Engineering & Technology was established in 1998. It offers five undergraduate programs besides research programs in two disciplines. It is affiliated to Visvesvaraya Technological University (VTU) in Belgaum and its undergraduate programs are accredited by the National Board of Accreditation (NBA) of the All India Council for Technical Education (AICTE)."
4,"Dave Twardzik"," David John Twardzik (born September 20 1950) is an American former professional basketball player. He was a point guard in both the American Basketball Association (ABA) and the National Basketball Association (NBA)."
3,"Lil Wyte"," Patrick Lanshaw (born October 6 1982) better known by his stage name Lil Wyte is an American rapper from Memphis Tennessee. He is a member of the rap collective Hypnotize Minds and owner of the independent label Wyte Music."
6,"Lockheed R6V Constitution"," R6V redirects here. For the video game go to Rainbow Six Vegas.The Lockheed R6V Constitution was a large propeller-driven double-decker transport aircraft developed in the 1940s by Lockheed as a long-range high capacity transport and airliner for the U.S. Navy and Pan American Airways. (The Constitutions were identified as R6O until 1950.) Only two of the aircraft were ever built both prototypes."
4,"Lionel Antoine"," Lionel Antoine (born August 31 1950) was an American football player. He's one of seven children born to Bertrand and Gertrude Antoine Sr. in Biloxi Mississippi. He has six children and is still married to his high school sweetheart Betty Langford Antoine for over 40 years. He loves all sports...from hunting and fishing to football and basketball."
2,"Pakistan Institute of Public Finance Accountants"," Pakistan Institute of Public Finance Accountants (PIPFA) is an autonomous body recognized mainly in the government sector and established under license from the Securities and Exchange Commission of Pakistan by the authority given under section 42 of the Companies Ordinance 1984.The body is co-sponsored by the Institute of Chartered Accountants of Pakistan the Institute of Cost and Management Accountants of Pakistan and the Auditor General of Pakistan.PIPFA has more than 5000 members and a number of them are membersof ICAP and ICMAP.The institute was established to produce a second tier of accounting professionals in Pakistan."
5,"William Judson Holloway Jr."," William Judson Holloway Jr. (June 23 1923 – April 25 2014) was a federal judge for the United States Court of Appeals for the Tenth Circuit and former chief judge of that court. He assumed senior status on May 31 1992 and died on April 25 2014."
6,"Westward Ho! (clipper)"," Westward Ho! was an 1852 extreme clipper which made two very fast passages to San Francisco 100 days from Boston and New York. She had a very close race with Neptune's Car and ended her days in the coolie trade."
6,"USS Pequot (ID-2998)"," The second USS Pequot (ID–2998) was a cargo ship of the United States Navy during World War I.The ship was built in 1910 by J.C. Tecklenborg A.G. Geestemunde Germany and was operated as SS Ockenfels by the Deutsche Dampfschiffahrts-Gesellschaft Hansa (German Steamship Company Hansa) until interned at New York at the outbreak of World War I."
2,"John Knox Christian School"," John Knox Christian School (JKCS) is a Christian independent elementary school in Burnaby British Columbia."
6,"China Railways HXD2"," The HXD2 locomotives are a series of related locomotive classes built by CNR Datong Electric Locomotive and Alstom. The locomotives designs are based on the Alstom Prima electric locomotives and are a product of a cooperation agreement signed between the two companies in 2004."
5,"Erdeniin Bat-Üül"," Erdeniin Bat-Üül (Mongolian: Эрдэнийн Бат-Үүл born 1 July 1957) is a prominent Mongolian politician from the Democratic Party and the Mayor of Ulaanbaatar City and the Governor of the Capital City."
3,"Hugh Harris (singer)"," Hugh Harris (born 1964) is an English musician most known for his song Rhythm Of Life. The song was on the soundtrack for Uncle Buck and is taken from Harris' 1989 album Words for Our Years. His first album garnered critical acclaim and Harris' style was compared to both Prince Terence Trent D'arby and female vocalist Tracy Chapman.In the late 1980s and early 1990s Harris was in a low-key relationship with Sinéad O'Connor."
4,"Chung Jae-hun (baseball born 1980)"," Chung Jae-Hun (Hangul: 정재훈 Hanja: 鄭載勳) (born January 1 1980 in Seoul South Korea) is a South Korean starting pitcher who plays for the Doosan Bears in the Korean Baseball Organization."
2,"UBC Department of Economics"," The UBC Department of Economics gained School status by approval of UBC's Senate and Board of Governors in the fall of 2012 and is now called the Vancouver School of Economics at UBC. Please see the School's separate page on Wikipedia for further information or visit the School's website at www.economics.ubc.ca"
4,"Joe Cichy"," Joe Cichy (born May 12 1948) was an American football safety. He was elected to the College Football Hall of Fame in 1997."
