"1","are aliens important to god?","","no. nothing is  important to god.\ngod  is  important to everything."
"1","For Spanish people only: Are you gonna work monday?","If your not spanish, please dont bother answering. Im just curious to know how many people are gonna do that.","People who are Spanish come from Spain, and they are not part of the campaign you speak of (almost all Spanish people come to the US with visas and proper immigration papers). Perhaps you are thinking of MEXICANS and other Latinos who insist on making the immigration issue one based on race."
"2","Who developed the first periodic table?","","Mendeleev from Russia"
"1","ask a question???","thought it would be different","Where do babies come from?  Why is the sky blue?  Why is the grass green?"
"1","what is your biggest regret in life?","","Having sex before marriage!"
"1","How many of you would be willing to admitting that you censored on this web-site, or are you cowards too?","To hide ones cowardly ways is to be a coward squared.  I'm sure that those of you who have censored others feel that your actions were justified.  So you shouldn't have any problems telling all.","Censor?  I didn't realize that any participants on YA had the capability or power to censor.  Turn in, report, inform on, promulgate, I'm sure there is lots of that being done.  But not by me. I just dropped in to see what all the fuss was about."
"2","what is a mallard jake?","","""Jake the Mallard Duck"" is a Beanie Baby."
"2","find derivative of the given function....?","find derivative(g*(x)) of given function\n  \n                     g(x)=nInt(t*(sq root of(t^3+2t))dt),x,x,-1)\n\n             i.e. function is= t*(sq.root of (t^3+2t)\n                 up limit=x\n              lower lim=-1\nnint= integral sign like ""S""","This is a fundamental theorem of calculus problem.\n\nThe derivative of the integral of t * sqrt (t^3 + 2t) dt from -1 to x is\n\nx * sqrt (x^3 + 2x)"
"1","can someone come up with a weird but fun mind altering event revolving aroudn 7-11 or another convenience sto?","","it an old time joke about 7-11..\n\nif 7-11 is open 24 hours, 7 days a week, why do they have padlocks of doors? isn't it useless?"
"2","why are changes in inventories included as part of investment spending?","","Inventory Investment: There are three types of inventory investment: materials and supplies, work in progress, and finished goods.\n\nInventory Investment\nInventory investment relates to the composition of GDP. What is produced in a certain country is naturally also sold, but some of the goods produced in a given year may not be sold the same year, but in later years. Coherently, some of the goods sold in a given year might have been produced in an earlier year. The difference between goods produced (production) and goods sold (sales) in a given year is called inventory investment.\n\nIf firms produce more than they sell and inventories are accumulated, inventory investment is positive.\n\nIf firms sell more than they produce and inventories fall, inventory investment is negative.\n\n\nThree Important Relations\nThese three relations between production, sales and inventory investment can be helpful:\n\nInventory investment = production - sales\n\nProduction = sales + inventory investment\n\nSales = production - inventory investment"
"1","how can i know i m in love or not?","","if you have to ask then you are not"
"1","lack of communication?","how do you get back to the one you lost because of lack of communication skills?\nand what are these skills?","Been with the same Man for over 8yrs, still can't talk without arguing."
"1","most of the puerto rican know this one how do you make coquito drink?","please if someone know I need to do it for the holidays","1/2 L Water \n15 oz Cream of coconut \n12 oz evaporated Milk \n14 oz Condensed milk \n4 Egg yolk \n2-3 sticks Cinnamon \n1 L White rum\n\nMix all the ingredients in a blender and enjoy!"
"1","I'm extremely happy for no apparent reason what so ever right now, are you happy as well?","","i am extremely happy bc i have a loveing and careing gf"
"2","which of the following is a saturated hydrocarbon: isopropane, butene, pentyne, or benzene?","","Isopropane.\n\n""The number of hydrogen atoms associated with a given skeleton of carbon atoms may vary.  When the chain or ring carries the full complement of hydrogen atoms, the hydrocarbon is said to be ""saturated"".  Such hydrocarbons are known as paraffins, paraffinic hydrocarbons, or alkanes/cycloalkanes. The ""paraffin"" term was common in the oil industry, because of the waxy characteristics of crude which contains these molecules.  The term ""alkanes"" is common among chemists.\n\nStraight-chain  structures are ""normal paraffins"", branch-chain structures are ""isoparaffins"", and ring-type structures are ""cycloparaffins"" or naphthenes.  Thus for three hydrocarbons with five carbon atoms (i.e. all ""pentanes"") we have several structures."""
"2","How does journal bearing works?","How does journal bearing works?","A journal bearing is also called a sleeve bearing because  it consists of a sleeve that encloses a portion of the shaft. It relies on a film of oil to support the shaft and permit shaft to rotate within the sleeve. \n\nUnlike an antifriction bearing (ball or roller type) A journal bearing tends to generate a good bit of heat and needs a method to keep cool either by radiation or a circulating system using a coolant. The oil film also needs a method to maintain sufficient oil to keep the oil film from breaking down."
"2","Given a9X9sided square where the cell(2,6) contains a REDdot.?many squares r present of any size witout reddot","Given a 9 X 9 sided square(rows 0 to 8, columns 0 to 8) where the cell(2,6) contains a RED dot (rest of the cells dont contain the RED dot). How many squares are present of any size without having the RED dot in them?","First we calculate all squares:\nWe have 9*9 one by one squares, 8*8 two by two squares and\nSo total squares are: 9^2+8^2+7^2+...+1^2=285\n Where 1^2 stands for 9 by 9 square.\n\nNow we must calculate all squares containing the red spot:\n\nWe have one ""one by one"" square, 4 "" two by two"" squares,\n9 ""for 3*3"", 9 for ""4*4"", 9 for ""5*5"", 9 for ""6*6"", 9 for ""7*7"", 4 for ""8*8"" and 1 for ""9*9"";\nWhich is count to 55. \n\nSo the answer is 285-55=230"
"1","Class-action lawsuit against Santa?","Does anyone know where I can find a lawyer to file a class-action lawsuit against Santa Claus, Inc. for breach of contract and discrimination? I'm sure there are loads of good Muslim, Jewish, Hindu, Buddhist, and atheist kids all over the world. Why isn't Santa handing out presents to them? He's racist, that's why! We need to band together and sue his fat red ass off! Who's with me?\n\n(take this as a joke, people.^_^)","That's sooooooo been done.  Don't even bother.  Fortunately, Santa Claus, Inc., its trademarks, titles, and everything having to do with ""Santa Claus"" is covered under the ""religious"" protection under the Constitution.  If you believe in Santa Claus, then you can sue him---or his corporation.  If you do not believe in Santa Claus, then you have no grounds for a lawsuit because you are of a different ""faith/belief.""\n\nAs you know, though-----there is no Santa Claus; the parents put the presents under the tree.  If you can find a Muslim who is really worried about it-----please take the bombs off his vest, sit him down, and you guys can talk about Santa.\n\nIf you can find a Hebrew person who is concerned about Santa, then ask him to put down his Torah, and sit down and talk to him about it.\n\nIf you can find a Buddhist who is concerned about Santa, then you can certainly Hmmmmmmmmmm your way into a conversation.\n\nIf you can find an atheist who is concerned about Santa, then they would have to believe in a giving, loving, spirit.  Sorry, that would make them something other than atheist.\n\nNow, if you're this concerned over Santa Claus, I suggest you contact your County Mental Health Department.  I'm sure you can find a counselor there who would be interested in sitting down and talking to you about it.\n\nOh, and----------HO HO HO....MERRY CHRISTMAS."
"2","Why you cannot give atropine to glaucoma patients ?","","Atropine effect the muscles in the eye that are responsible for contarcting and dilating the iris. When atropine is administered these muscles are temporarily paralysed and dilate. This dilation causes the the flow of liquid (aqueous humor) to be restricted thus raising the pressure within the eyeball.\nOne of the main symptoms of Glaucoma (specifically acute angle closure glaucoma) is an increase in pressure with the eye ball that causes pain and damage to the optic nerve and requires emergency treatment. Therefore any drug that will cause an increase in the pressure within the eye ball will not be administered to patients with acute angle closure glaucoma."
"1","how can i find a man easily to become ask my mate?","i mean, i wanna know how can i find a man that could be my love","Open you´re eyes ands ears, first what kind of man you want.\nIf you want a spiritual hard working men it more easy to find in a group who help kids or work for free in non-profit organization, instead of a bar. Be part of a group for goods things in this environment you can meet nice people and be better person, or be part of people who share you´res hobbies or sports."
